career,ol_required,al_stream,degree_or_required,certifications,skills
Software Developer,Pass the O/L Exam,Pass the A/L Exam with stream Mathamatics or Technology,Required Degree or Diploma related IT/SE/CS,"AWS, Azure, Google Cloud, Oracle Java","Programming, Problem Solving, OOP, Databases, Git, APIs, Debugging"
Systems Analyst,Pass the O/L Exam,Pass the A/L Exam (Commerce / Science / Technology preferred),Bachelor�s Degree in Information Systems / IT / Computer Science / Software Engineering or equivalent Diploma with experience,"CBAP (Certified Business Analysis Professional), CCBA, PMI-PBA, ITIL Foundation, Microsoft Azure Fundamentals","Requirements Analysis, System Design, Business Analysis, UML Modeling, Database Management, SDLC, Communication Skills, Problem Solving, Documentation, Agile & Scrum"
AI/ML Engineer,Pass the O/L Exam,Pass A/L with Mathematics / Science / Technology stream strongly preferred,"Bachelor�s Degree in Computer Science, Data Science, Artificial Intelligence, Machine Learning, Mathematics or related field","Google Professional Machine Learning Engineer, Microsoft Azure AI Engineer Associate, AWS Machine Learning Specialty, IBM AI Engineering Professional Certificate","Python Programming, Machine Learning Algorithms, Deep Learning, Data Analysis, Statistics, TensorFlow / PyTorch, Model Training & Evaluation, Data Preprocessing, Mathematics (Linear Algebra, Probability), Problem Solving"
Web Developer,Pass the O/L Exam,Any stream (Technology / Mathematics / Commerce acceptable),Bachelor�s Degree in IT / Software Engineering / Computer Science OR Diploma in Web Development / Software Engineering,"Meta Front-End Developer Certificate, Google UX Design Certificate, AWS Cloud Practitioner (optional), FreeCodeCamp Certifications","Design Certificate, AWS Cloud Practitioner (optional), FreeCodeCamp Certifications
HTML, CSS, JavaScript, Responsive Design, React / Angular / Vue, UI/UX Basics, REST APIs, Git & GitHub, Debugging, Browser Developer Tools, Basic Backend Knowledge (Node.js / PHP)"
Database Administrator,Pass the O/L Exam,Pass A/L with Mathematics / Technology / Commerce (ICT preferred),Bachelor�s Degree in Information Technology / Computer Science / Database Systems or equivalent Diploma with experience,"Oracle Certified Professional (OCP), Microsoft Certified: Azure Database Administrator Associate, AWS Certified Database Specialty, IBM Certified Database Administrator","Database Management, SQL, Data Modeling, Performance Tuning, Backup & Recovery, Database Security, Troubleshooting, Linux/Windows Server Basics, Cloud Databases (AWS/Azure), Attention to Detail"
Data Analyst,Pass the O/L Exam,Pass A/L with Mathematics / Commerce / Technology stream preferred,Bachelor�s Degree in Data Science / Statistics / Information Technology / Computer Science or related field (Diploma acceptable with skills),"Google Data Analytics Professional Certificate, Microsoft Power BI Data Analyst Associate, IBM Data Analyst Professional Certificate, Tableau Desktop Specialist","Data Analysis, SQL, Excel, Data Visualization (Power BI/Tableau), Python or R, Statistics, Data Cleaning, Critical Thinking, Communication Skills, Problem Solving"
Cybersecurity Specialist,Pass the O/L Exam,Pass A/L with Mathematics / Technology / Science stream preferred,Bachelor�s Degree in Cybersecurity / Information Security / Computer Science / IT or equivalent Diploma with experience,"CompTIA Security+, Certified Ethical Hacker (CEH), CISSP, CISM, Cisco CyberOps Associate","Network Security, Ethical Hacking, Threat Analysis, Risk Management, Cryptography, Security Tools (Wireshark, Metasploit), Incident Response, Linux/Windows Security, Firewalls & IDS/IPS, Problem Solving"
Database Architect,Pass the O/L Exam,Pass A/L with Mathematics / Technology / Science stream preferred,Bachelor�s Degree in Computer Science / Information Technology / Software Engineering or related field (Master�s degree advantageous),"Oracle Certified Master (OCM), Microsoft Certified: Azure Solutions Architect Expert, AWS Certified Solutions Architect, IBM Certified Data Architect","Data Architecture Design, Advanced SQL, Data Modeling, Database Optimization, Cloud Databases (AWS/Azure/GCP), Big Data Technologies, ETL Processes, Performance Tuning, Data Security, Problem Solving"
Business Intelligence Analyst,Pass the O/L Exam,Pass A/L with Commerce / Mathematics / Technology stream preferred,Bachelor�s Degree in Information Systems / Data Science / Business Analytics / IT or related field (Diploma acceptable with experience),"Microsoft Power BI Data Analyst Associate, Tableau Desktop Specialist, Google Data Analytics Professional Certificate, IBM Business Intelligence Analyst Certificate","Data Analysis, Data Visualization (Power BI/Tableau), SQL, Excel, Dashboard Development, Business Analysis, Data Warehousing, ETL Processes, Reporting, Communication Skills, Problem Solving"
Network Security Engineer,Pass the O/L Exam,Pass A/L with Mathematics / Technology / Science stream preferred,Bachelor�s Degree in Cybersecurity / Information Technology / Computer Science / Network Engineering or equivalent Diploma with experience,"CompTIA Security+, Cisco CCNA Security / CCNP Security, Certified Ethical Hacker (CEH), CISSP, Fortinet NSE","Network Security, Firewalls & VPNs, Intrusion Detection & Prevention (IDS/IPS), Network Protocols (TCP/IP), Threat Analysis, Ethical Hacking, Security Monitoring, Incident Response, Linux/Windows Server Security, Problem Solving"
