name,description,link
Software Developer,Designs and builds software applications.,https://en.wikipedia.org/wiki/Software_development
Systems Analyst,Analyzes and improves IT systems for organizations.,https://en.wikipedia.org/wiki/Systems_analyst
AI/ML Engineer,Builds machine learning and AI models for predictions.,https://en.wikipedia.org/wiki/Machine_learning
Web Developer,Develops websites and web applications.,https://en.wikipedia.org/wiki/Web_developer
Database Administrator,Manages and maintains databases securely.,https://en.wikipedia.org/wiki/Database_administrator
Data Analyst,Analyzes data to generate business insights.,https://en.wikipedia.org/wiki/Data_analysis
Cybersecurity Specialist,Protects systems from cyber threats.,https://en.wikipedia.org/wiki/Computer_security
Database Architect,Designs database structure and architecture.,https://en.wikipedia.org/wiki/Database
Business Intelligence Analyst,Creates reports and dashboards for decision-making.,https://en.wikipedia.org/wiki/Business_intelligence
Network Security Engineer,Secures computer networks from attacks.,https://en.wikipedia.org/wiki/Network_security
Civil Engineer,Designs and constructs infrastructure projects.,https://en.wikipedia.org/wiki/Civil_engineering
Electrical Engineer,Works with electrical systems and circuits.,https://en.wikipedia.org/wiki/Electrical_engineering
Mechanical Engineer,Designs mechanical systems and machines.,https://en.wikipedia.org/wiki/Mechanical_engineering
Industrial Engineer,Improves production and industrial processes.,https://en.wikipedia.org/wiki/Industrial_engineering
Robotics Engineer,Builds and programs robotic systems.,https://en.wikipedia.org/wiki/Robotics
Physician,Diagnoses and treats illnesses.,https://en.wikipedia.org/wiki/Physician
Nurse,Provides patient care in healthcare settings.,https://en.wikipedia.org/wiki/Nursing
Physiotherapist,Helps patients recover movement and function.,https://en.wikipedia.org/wiki/Physical_therapy
Occupational Therapist,Helps patients regain daily life skills.,https://en.wikipedia.org/wiki/Occupational_therapy
Clinical Psychologist,Treats mental health disorders.,https://en.wikipedia.org/wiki/Clinical_psychology
Biomedical Scientist,Studies biology for medical applications.,https://en.wikipedia.org/wiki/Biomedical_science
Geneticist,Studies genes and heredity.,https://en.wikipedia.org/wiki/Genetics
Microbiologist,Studies microorganisms like bacteria.,https://en.wikipedia.org/wiki/Microbiology
Pharmacologist,Studies drug effects on the body.,https://en.wikipedia.org/wiki/Pharmacology
Immunologist,Studies immune system and diseases.,https://en.wikipedia.org/wiki/Immunology
Environmental Scientist,Studies environment and sustainability.,https://en.wikipedia.org/wiki/Environmental_science
Wildlife Biologist,Studies animals and ecosystems.,https://en.wikipedia.org/wiki/Wildlife
