ol_mathamatics,ol_science,ol_english,al_stream,interest_type,personal_skill_score,aptitude_test_score,personality_type,career_category,recommended_career_1,recommended_career_2,recommended_career_3
C,S,B,Arts,Enterprising,15,3,A,Education & Social Services,Social Worker,Teacher,Librarian
C,A,A,Biological Science,Social,86,51,I,Clinical & Healthcare Services,Nurse,Clinical Psychologist,Physiotherapist
B,A,B,Mathematics,Conventional,61,63,I,Data Management & Cyber Security,Network Security Engineer,BI Analyst,Cybersecurity Specialist
B,C,C,Biological Science,Investigative,65,4,I,Biomedical & Laboratory Research,Pharmacologist,Immunologist,Geneticist
A,C,A,Biological Science,Investigative,74,85,S,Clinical & Healthcare Services,Physiotherapist,Physician,Nurse
B,B,A,Arts,Enterprising,71,28,A,Media & Communication,Content Writer,Journalist,Broadcaster
B,C,S,Tech,Realistic,82,85,I,IT Support & Training,Network Administrator,Technical Trainer,IT Support Specialist
C,C,A,Arts,Artistic,14,5,S,Education & Social Services,Counselor,Librarian,NGO Officer
C,S,B,Commerce,Conventional,46,73,E,Business Management & Strategy,Business Manager,Operations Manager,Project Manager
S,C,S,Commerce,Enterprising,49,46,E,Business Management & Strategy,Entrepreneur,HR Manager,Project Manager
A,A,B,Biological Science,Social,27,65,S,Environmental & Field Science,Wildlife Biologist,Environmental Scientist,Marine Biologist
C,S,A,Commerce,Enterprising,63,89,S,Business Management & Strategy,Entrepreneur,Project Manager,HR Manager
S,B,S,Commerce,Conventional,16,21,S,Marketing & Sales,Marketing Executive,Market Research Analyst,Digital Marketer
C,A,B,Tech,Realistic,70,53,I,IT Support & Training,IT Support Specialist,Helpdesk Technician,Technical Trainer
C,B,S,Biological Science,Social,33,0,I,Environmental & Field Science,Marine Biologist,Ecologist,Conservation Officer
C,B,C,Commerce,Enterprising,45,11,E,Business Management & Strategy,Business Manager,Entrepreneur,Operations Manager
A,A,A,Mathematics,Investigative,0,64,I,Engineering & Technical Operations,Civil Engineer,Mechanical Engineer,Robotics Engineer
B,C,A,Mathematics,Realistic,70,67,R,Software & Systems,Database Administrator,Systems Analyst,Web Developer
C,B,B,Biological Science,Investigative,33,36,S,Environmental & Field Science,Wildlife Biologist,Environmental Scientist,Marine Biologist
B,C,B,Commerce,Social,78,58,E,Accounting & Finance,Tax Consultant,Investment Banker,Accountant
C,C,C,Arts,Enterprising,84,34,S,Media & Communication,Social Media Manager,Public Relations Officer,Journalist
B,A,A,Mathematics,Investigative,95,28,R,Software & Systems,Systems Analyst,Software Developer,Database Administrator
B,A,A,Biological Science,Social,75,72,I,Clinical & Healthcare Services,Physician,Physiotherapist,Occupational Therapist
C,B,B,Tech,Realistic,35,18,R,Digital Media & Creative Technology,UI/UX Designer,AR/VR Developer,Multimedia Artist
B,B,C,Commerce,Conventional,83,60,E,Accounting & Finance,Auditor,Investment Banker,Tax Consultant
C,C,B,Biological Science,Social,62,58,S,Biomedical & Laboratory Research,Pharmacologist,Microbiologist,Biomedical Scientist
A,C,S,Biological Science,Social,98,22,S,Clinical & Healthcare Services,Physiotherapist,Clinical Psychologist,Physician
A,A,B,Tech,Conventional,50,71,R,Technology Business & Startups,Startup Founder,Product Manager,Tech Consultant
B,C,A,Arts,Enterprising,62,48,A,Creative & Performing Arts,Actor,Graphic Designer,Musician
S,C,S,Arts,Enterprising,16,57,A,Education & Social Services,Teacher,NGO Officer,Counselor
B,B,C,Tech,Realistic,96,4,I,IT Support & Training,IT Support Specialist,Network Administrator,System Operator
C,C,A,Tech,Investigative,67,5,I,Technology Business & Startups,Innovation Manager,Tech Consultant,Business Analyst (Tech)
A,C,C,Mathematics,Realistic,63,47,I,Data Management & Cyber Security,Network Security Engineer,Database Architect,BI Analyst
B,S,A,Arts,Social,10,64,S,Education & Social Services,Social Worker,Counselor,Teacher
C,C,B,Commerce,Enterprising,24,95,E,Marketing & Sales,Digital Marketer,Sales Manager,Brand Manager
B,B,S,Commerce,Social,76,1,S,Accounting & Finance,Tax Consultant,Auditor,Investment Banker
S,B,S,Commerce,Social,42,81,S,Business Management & Strategy,Business Manager,HR Manager,Project Manager
C,C,S,Biological Science,Social,84,20,S,Clinical & Healthcare Services,Occupational Therapist,Clinical Psychologist,Physiotherapist
B,B,S,Arts,Social,61,72,S,Creative & Performing Arts,Fashion Designer,Animator,Musician
C,B,S,Tech,Conventional,92,77,I,IT Support & Training,Helpdesk Technician,Network Administrator,IT Support Specialist
A,C,C,Tech,Realistic,18,18,R,Digital Media & Creative Technology,AR/VR Developer,Game Developer,Multimedia Artist
A,B,A,Biological Science,Investigative,93,45,S,Clinical & Healthcare Services,Nurse,Physician,Physiotherapist
C,C,S,Mathematics,Realistic,100,96,I,Software & Systems,Database Administrator,Software Developer,Systems Analyst
A,B,A,Mathematics,Conventional,62,92,I,Data Management & Cyber Security,BI Analyst,Database Architect,Network Security Engineer
C,C,B,Mathematics,Conventional,23,53,I,Engineering & Technical Operations,Civil Engineer,Industrial Engineer,Electrical Engineer
B,B,A,Mathematics,Conventional,0,20,I,Engineering & Technical Operations,Electrical Engineer,Civil Engineer,Industrial Engineer
B,C,A,Mathematics,Investigative,78,67,R,Software & Systems,AI/ML Engineer,Systems Analyst,Software Developer
B,S,A,Commerce,Social,29,12,E,Marketing & Sales,Digital Marketer,Marketing Executive,Brand Manager
C,A,B,Mathematics,Investigative,62,58,R,Data Management & Cyber Security,Data Analyst,Network Security Engineer,Database Architect
B,A,A,Mathematics,Investigative,3,15,R,Engineering & Technical Operations,Industrial Engineer,Electrical Engineer,Civil Engineer
S,C,C,Arts,Social,97,46,A,Media & Communication,Broadcaster,Public Relations Officer,Social Media Manager
A,A,B,Mathematics,Conventional,15,52,I,Engineering & Technical Operations,Industrial Engineer,Robotics Engineer,Civil Engineer
S,C,B,Arts,Artistic,30,38,A,Education & Social Services,Counselor,NGO Officer,Teacher
B,S,A,Arts,Enterprising,2,22,S,Education & Social Services,Teacher,NGO Officer,Counselor
B,B,A,Tech,Realistic,7,71,R,Digital Media & Creative Technology,AR/VR Developer,Multimedia Artist,Mobile App Developer
B,C,C,Mathematics,Realistic,14,53,I,Engineering & Technical Operations,Industrial Engineer,Civil Engineer,Electrical Engineer
A,A,B,Biological Science,Investigative,43,18,I,Biomedical & Laboratory Research,Microbiologist,Biomedical Scientist,Immunologist
C,S,S,Commerce,Enterprising,48,57,S,Business Management & Strategy,Project Manager,Operations Manager,Business Manager
C,A,B,Tech,Conventional,63,99,R,Technology Business & Startups,Product Manager,Tech Consultant,Business Analyst (Tech)
B,B,S,Biological Science,Investigative,1,60,I,Environmental & Field Science,Ecologist,Marine Biologist,Conservation Officer
B,C,C,Arts,Artistic,54,72,A,Creative & Performing Arts,Actor,Animator,Fashion Designer
C,A,S,Biological Science,Investigative,25,77,S,Environmental & Field Science,Conservation Officer,Wildlife Biologist,Environmental Scientist
S,S,A,Arts,Enterprising,81,68,A,Media & Communication,Journalist,Content Writer,Broadcaster
C,C,C,Commerce,Social,81,82,E,Accounting & Finance,Investment Banker,Auditor,Financial Analyst
C,B,B,Mathematics,Realistic,59,35,I,Data Management & Cyber Security,Database Architect,BI Analyst,Network Security Engineer
B,B,C,Mathematics,Conventional,85,39,R,Software & Systems,Database Administrator,Systems Analyst,AI/ML Engineer
C,S,C,Commerce,Enterprising,48,4,S,Business Management & Strategy,Business Manager,Entrepreneur,HR Manager
C,A,C,Mathematics,Realistic,100,21,I,Software & Systems,Web Developer,Software Developer,Database Administrator
A,B,A,Tech,Conventional,14,2,R,Digital Media & Creative Technology,Game Developer,AR/VR Developer,Multimedia Artist
C,C,S,Commerce,Enterprising,23,73,E,Marketing & Sales,Brand Manager,Marketing Executive,Market Research Analyst
B,C,S,Commerce,Social,94,72,S,Accounting & Finance,Auditor,Financial Analyst,Tax Consultant
S,B,A,Commerce,Conventional,84,75,E,Accounting & Finance,Accountant,Financial Analyst,Investment Banker
B,B,C,Tech,Investigative,44,87,R,Technology Business & Startups,Tech Consultant,Startup Founder,Business Analyst (Tech)
C,A,S,Mathematics,Conventional,89,85,I,Software & Systems,Systems Analyst,Database Administrator,Software Developer
C,A,C,Biological Science,Social,23,2,I,Environmental & Field Science,Conservation Officer,Marine Biologist,Ecologist
C,C,B,Mathematics,Conventional,89,2,I,Software & Systems,Database Administrator,Software Developer,Systems Analyst
B,B,C,Tech,Conventional,52,42,R,Technology Business & Startups,Tech Consultant,Product Manager,Startup Founder
B,A,B,Mathematics,Conventional,48,68,I,Data Management & Cyber Security,Database Architect,Network Security Engineer,Data Analyst
B,C,A,Mathematics,Realistic,100,55,R,Software & Systems,Systems Analyst,Web Developer,AI/ML Engineer
B,C,B,Mathematics,Investigative,31,32,R,Engineering & Technical Operations,Mechanical Engineer,Civil Engineer,Industrial Engineer
B,C,B,Tech,Realistic,18,83,I,Digital Media & Creative Technology,Mobile App Developer,Multimedia Artist,Game Developer
C,B,C,Mathematics,Conventional,73,45,I,Software & Systems,AI/ML Engineer,Web Developer,Software Developer
A,A,B,Mathematics,Conventional,61,63,I,Data Management & Cyber Security,Database Architect,Data Analyst,Cybersecurity Specialist
B,C,B,Commerce,Conventional,69,84,E,Business Management & Strategy,Project Manager,Entrepreneur,Business Manager
B,C,C,Mathematics,Realistic,63,59,R,Data Management & Cyber Security,BI Analyst,Database Architect,Data Analyst
C,A,B,Biological Science,Social,52,58,I,Biomedical & Laboratory Research,Biomedical Scientist,Pharmacologist,Geneticist
B,A,C,Biological Science,Investigative,8,15,S,Environmental & Field Science,Wildlife Biologist,Ecologist,Conservation Officer
S,S,B,Arts,Social,85,69,S,Media & Communication,Content Writer,Social Media Manager,Broadcaster
C,S,A,Arts,Artistic,52,58,A,Creative & Performing Arts,Fashion Designer,Actor,Musician
A,A,C,Mathematics,Investigative,55,56,I,Data Management & Cyber Security,Database Architect,Data Analyst,Network Security Engineer
B,B,B,Arts,Artistic,51,79,S,Creative & Performing Arts,Actor,Musician,Animator
A,B,B,Biological Science,Social,5,57,I,Environmental & Field Science,Ecologist,Conservation Officer,Wildlife Biologist
C,A,A,Biological Science,Social,54,45,S,Biomedical & Laboratory Research,Biomedical Scientist,Microbiologist,Pharmacologist
A,C,C,Mathematics,Realistic,4,20,R,Engineering & Technical Operations,Mechanical Engineer,Electrical Engineer,Robotics Engineer
C,B,B,Mathematics,Realistic,66,97,I,Data Management & Cyber Security,Database Architect,Data Analyst,BI Analyst
C,C,S,Commerce,Enterprising,37,46,E,Marketing & Sales,Market Research Analyst,Digital Marketer,Sales Manager
B,C,B,Mathematics,Investigative,33,52,R,Engineering & Technical Operations,Civil Engineer,Robotics Engineer,Mechanical Engineer
C,B,B,Biological Science,Investigative,67,91,I,Biomedical & Laboratory Research,Biomedical Scientist,Microbiologist,Geneticist
B,A,B,Mathematics,Realistic,42,49,I,Data Management & Cyber Security,Cybersecurity Specialist,Database Architect,BI Analyst
S,S,A,Commerce,Enterprising,9,85,S,Marketing & Sales,Brand Manager,Market Research Analyst,Sales Manager
B,C,A,Tech,Conventional,48,100,I,Technology Business & Startups,Product Manager,Tech Consultant,Business Analyst (Tech)
S,C,A,Commerce,Enterprising,84,18,S,Accounting & Finance,Financial Analyst,Tax Consultant,Auditor
B,C,C,Commerce,Social,11,73,S,Marketing & Sales,Sales Manager,Brand Manager,Marketing Executive
B,B,S,Commerce,Enterprising,37,65,E,Marketing & Sales,Marketing Executive,Digital Marketer,Brand Manager
A,A,S,Tech,Conventional,43,17,I,Technology Business & Startups,Product Manager,Startup Founder,Business Analyst (Tech)
C,B,S,Mathematics,Investigative,35,66,R,Engineering & Technical Operations,Mechanical Engineer,Civil Engineer,Industrial Engineer
A,C,A,Biological Science,Investigative,70,97,I,Clinical & Healthcare Services,Clinical Psychologist,Occupational Therapist,Physiotherapist
S,S,S,Arts,Social,24,8,A,Education & Social Services,Social Worker,Counselor,NGO Officer
C,A,S,Biological Science,Investigative,39,92,I,Environmental & Field Science,Marine Biologist,Ecologist,Wildlife Biologist
C,B,S,Tech,Investigative,63,22,I,Technology Business & Startups,Tech Consultant,Innovation Manager,Startup Founder
C,S,B,Commerce,Conventional,64,37,S,Business Management & Strategy,HR Manager,Entrepreneur,Operations Manager
C,S,A,Arts,Artistic,34,49,S,Education & Social Services,Social Worker,NGO Officer,Counselor
C,C,A,Tech,Realistic,8,26,R,Digital Media & Creative Technology,UI/UX Designer,Multimedia Artist,Game Developer
A,C,C,Mathematics,Conventional,15,86,R,Engineering & Technical Operations,Mechanical Engineer,Robotics Engineer,Electrical Engineer
A,C,C,Tech,Conventional,69,43,I,Technology Business & Startups,Innovation Manager,Tech Consultant,Product Manager
B,B,C,Biological Science,Social,100,72,I,Clinical & Healthcare Services,Occupational Therapist,Clinical Psychologist,Physician
B,S,B,Arts,Social,66,64,A,Creative & Performing Arts,Musician,Fashion Designer,Actor
